record_date,month,weekday,holiday,temp_high,temp_low,weather,wind,power_consumption
2015/1/1,1,4,0,5,-4,1,0,2900575
2015/1/10,1,6,0,14,1,1,0,3913704
2015/1/11,1,7,0,14,0,1,0,3635468
2015/1/12,1,1,1,8,1,0,0,4011329
2015/1/13,1,2,1,7,4,-1,0,3969860
2015/1/14,1,3,1,8,4,0,1,4225259
2015/1/15,1,4,1,9,3,0,0,4106437
2015/1/16,1,5,1,9,-1,1,0,4074699
2015/1/17,1,6,0,6,-2,1,0,4053950
2015/1/18,1,7,0,8,0,0,0,3827153
2015/1/19,1,1,1,11,0,1,0,4099085
2015/1/2,1,5,0,9,-2,1,0,3158211
2015/1/20,1,2,1,11,3,0,0,4166022
2015/1/21,1,3,1,12,0,0,1,4091559
2015/1/22,1,4,1,6,-2,1,1,4197553
2015/1/23,1,5,1,11,-1,0,0,4153027
2015/1/24,1,6,0,15,3,0,1,3841539
2015/1/25,1,7,0,11,6,-1,0,3658452
2015/1/26,1,1,1,9,3,0,1,3969836
2015/1/27,1,2,1,6,0,-1,1,4250943
2015/1/28,1,3,1,3,-1,1,1,4146675
2015/1/29,1,4,1,2,-1,1,0,4155199
2015/1/3,1,6,0,13,2,0,0,3596487
2015/1/30,1,5,1,3,-2,0,0,4015565
2015/1/31,1,6,0,5,-1,0,0,3895604
2015/1/4,1,7,1,16,1,1,1,3939672
2015/1/5,1,1,1,14,5,-1,1,4101790
2015/1/6,1,2,1,7,-1,-1,1,4149164
2015/1/7,1,3,1,7,-3,1,0,4161928
2015/1/8,1,4,1,8,-2,1,0,4182622
2015/1/9,1,5,1,12,0,0,0,4153509
2015/10/1,10,4,0,23,14,1,1,2841489
2015/10/10,10,6,0,23,10,1,1,3718483
2015/10/11,10,7,0,20,10,1,1,3236485
2015/10/12,10,1,1,22,11,1,1,3676439
2015/10/13,10,2,1,24,13,1,0,3708587
2015/10/14,10,3,1,24,13,0,0,3748435
2015/10/15,10,4,1,25,14,1,1,3538810
2015/10/16,10,5,1,26,15,1,1,3807975
2015/10/17,10,6,0,26,14,1,0,3802147
2015/10/18,10,7,0,25,14,1,0,3521948
2015/10/19,10,1,1,24,15,0,0,3719963
2015/10/2,10,5,0,24,15,1,0,2776441
2015/10/20,10,2,1,25,16,0,1,3608500
2015/10/21,10,3,1,25,16,0,1,3926344
2015/10/22,10,4,1,25,16,0,0,3926220
2015/10/23,10,5,1,25,17,0,1,3914699
2015/10/24,10,6,0,25,17,0,1,3945502
2015/10/25,10,7,0,23,16,0,1,3512930
2015/10/26,10,1,1,24,14,-1,1,3750753
2015/10/27,10,2,1,19,11,0,1,3929170
2015/10/28,10,3,1,20,12,0,1,3838921
2015/10/29,10,4,1,18,12,0,1,3915735
2015/10/3,10,6,0,25,17,0,0,2754225
2015/10/30,10,5,1,18,10,0,1,3840502
2015/10/31,10,6,0,17,11,-1,1,3232390
2015/10/4,10,7,0,25,19,-1,1,3016213
2015/10/5,10,1,0,23,18,0,1,3443517
2015/10/6,10,2,0,24,19,-1,1,3629157
2015/10/7,10,3,0,22,18,-1,1,3669034
2015/10/8,10,4,1,19,15,0,1,4002839
2015/10/9,10,5,1,22,12,1,1,3773217
2015/11/1,11,7,0,17,8,1,0,3443912
2015/11/10,11,2,1,15,9,0,1,3347273
2015/11/11,11,3,1,16,10,0,0,3452265
2015/11/12,11,4,1,16,13,-1,1,3407477
2015/11/13,11,5,1,16,12,0,0,3528801
2015/11/14,11,6,0,17,10,0,1,3377359
2015/11/15,11,7,0,18,11,-1,1,3377554
2015/11/16,11,1,1,17,13,-1,1,3697464
2015/11/17,11,2,1,15,12,-1,1,3862200
2015/11/18,11,3,1,15,11,-1,1,3854823
2015/11/19,11,4,1,14,11,-1,0,3913774
2015/11/2,11,1,1,18,8,1,1,3599595
2015/11/20,11,5,1,16,11,0,0,3903341
2015/11/21,11,6,0,16,13,-1,0,3820628
2015/11/22,11,7,0,17,14,-1,1,3198030
2015/11/23,11,1,1,16,10,-1,1,3939268
2015/11/24,11,2,1,11,3,-1,1,4025841
2015/11/25,11,3,1,5,0,1,1,3608402
2015/11/26,11,4,1,3,-4,1,1,4160858
2015/11/27,11,5,1,5,-2,1,1,4169118
2015/11/28,11,6,0,12,3,0,1,3927863
2015/11/29,11,7,0,16,6,1,0,3566745
2015/11/3,11,2,1,20,11,0,1,3796895
2015/11/30,11,1,1,15,5,0,0,3782338
2015/11/4,11,3,1,21,14,0,1,3903614
2015/11/5,11,4,1,23,16,-1,1,3920772
2015/11/6,11,5,1,26,19,-1,1,3910196
2015/11/7,11,6,0,17,12,-1,1,3819933
2015/11/8,11,7,0,13,9,-1,1,3500779
2015/11/9,11,1,1,13,8,0,1,3382794
2015/12/1,12,2,1,17,10,0,1,3876643
2015/12/10,12,4,1,12,7,0,0,4232933
2015/12/11,12,5,1,10,1,0,1,4208018
2015/12/12,12,6,0,10,2,1,1,4001223
2015/12/13,12,7,0,9,3,0,1,3856921
2015/12/14,12,1,1,10,4,0,0,4117837
2015/12/15,12,2,1,10,0,1,1,3315516
2015/12/16,12,3,1,6,-3,1,1,4269798
2015/12/17,12,4,1,5,-3,1,1,4316805
2015/12/18,12,5,1,6,-2,0,1,4348796
2015/12/19,12,6,0,9,2,-1,0,4117298
2015/12/2,12,3,1,12,3,1,1,3998786
2015/12/20,12,7,0,8,2,-1,1,3969676
2015/12/21,12,1,1,8,0,0,0,4170567
2015/12/22,12,2,1,11,6,0,1,3869879
2015/12/23,12,3,1,10,7,-1,1,4167805
2015/12/24,12,4,1,10,4,-1,0,4320650
2015/12/25,12,5,1,10,2,1,1,4294518
2015/12/26,12,6,0,14,4,1,0,3874950
2015/12/27,12,7,0,9,1,0,1,3905750
2015/12/28,12,1,1,6,-1,0,1,4105261
2015/12/29,12,2,1,9,0,0,0,4255276
2015/12/3,12,4,1,10,0,1,1,4030378
2015/12/30,12,3,1,11,0,1,1,4170536
2015/12/31,12,4,1,9,-1,1,1,4020591
2015/12/4,12,5,1,9,2,1,0,3872078
2015/12/5,12,6,0,8,4,-1,0,3701451
2015/12/6,12,7,0,10,2,0,0,3723541
2015/12/7,12,1,1,12,3,1,0,3983834
2015/12/8,12,2,1,13,6,0,1,4140712
